Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
-4			1,0
-3			0,9999715317170562
-2			0,9993963102337832
-1			0,9944424652675838
0	1,0	1,0	0,9705177302446788
1	0,9999999999704992	0,99999154896246	0,8982816865531503
2	0,9999999963866859	0,9997708419629926	0,7529100344475472
3	0,9999998169259021	0,9973843174871112	0,5478567740140506
4	0,9999948308112839	0,9831307608334893	0,3365758713189404
5	0,9999084946066383	0,930459193625163	0,17209914396817175
6	0,9989229877298602	0,8031977004092257	0,0727555298719243
7	0,9913242209239744	0,5947230498110824	0,02530671107242872
8	0,9519003479685739	0,3573367471345447	0,0071907064200174625
9	0,8197490447058104	0,16666827849976576	0,0016484194557052482
10	0,5564286404984045	0,05813262946875169	0,0002984701168180586
11	0,2667185253943005	0,014597844049457548	4,116790271605196e-05
12	0,08420978971599624	0,0025156858321424102	4,060751808850785e-06
13	0,016462455048511904	0,000276913612672915	2,541100051442086e-07
14	0,0017972560107334945	1,7164881720035268e-05	7,533614270157713e-09
15	8,35933028248137e-05	4,4842942084272103e-07	
