Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
-4			1,0
-3			0,9999788938114555
-2			0,9994630527800865
-1			0,9942827970279198
0	1,0	1,0	0,966569625900916
1	0,9999999045248842	0,9998620809742562	0,8798606617483812
2	0,9999960324785206	0,9977582158825165	0,7110691545197138
3	0,9999272939312505	0,9843656684956202	0,4897618250953576
4	0,9992201314889826	0,9354622511657819	0,2813830605646018
5	0,9945256375794997	0,8193063159787366	0,133767401139485
6	0,9733598163293209	0,6282390705822956	0,05249476242218819
7	0,9069565466634231	0,40286348983671316	0,016969601858314254
8	0,7607893923996016	0,20839205351042972	0,004495203786113067
9	0,5355822584388079	0,08444865796711012	0,0009653250174157663
10	0,29502400624915026	0,026068251077921226	0,0001648197975874649
11	0,11941631462832447	0,005929541862953816	2,1630663905286562e-05
12	0,03347784891957417	0,0009489061030855395	2,0545069932820237e-06
13	0,0060632818640442565	9,93591149980877e-05	1,2565652456053567e-07
14	0,0006327721348498017	5,983154206454233e-06	3,703040998837004e-09
15	2,8762369765900075e-05	1,5429337495154183e-07	
