Label	Average Damage	Average after PDIC	Average Saved
DIS-T81	0,75	0,5625	0,1875
Wat Tambor	0,75	0,5625	0,1875
Hyena #1	1,95703125	1,58349609375	0,37353515625
Hyena #2	1,95703125	1,58349609375	0,37353515625
Hyena #3	1,95703125	1,58349609375	0,37353515625
Hyena #4	1,95703125	1,58349609375	0,37353515625
Vulture #1	0,5	0,1875	0,3125
Vulture #2	0,5	0,1875	0,3125
Vulture #3	0,5	0,1875	0,3125
Vulture #4	0,5	0,1875	0,3125
Vulture #5	0,5	0,1875	0,3125
Vulture #6	0,5	0,1875	0,3125
TOTAL	12,328125	8,583984375	3,744140625
