Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
-6			1,0
-5			0,9999999998171022
-4			0,9999999748934673
-3			0,9999985478171826
-2			0,9999543328319744
-1			0,9991617712868903
0	1,0	0,9999999999999999	0,9910689946682651
1	0,9999999711905256	0,9999978687302876	0,9482778450853451
2	0,9999992682393518	0,9999534485178546	0,8505996476142678
3	0,9999907813950191	0,9995098411008897	0,6973367100036096
4	0,99992404567752	0,9967374650889786	0,5160571505396826
5	0,9995436998493787	0,9847448792290172	0,3424890769963162
6	0,997883600159186	0,9471006222240399	0,20365230604083276
7	0,9921531456929666	0,8594025757379122	0,10852230123216004
8	0,9761901790779104	0,7064515279351169	0,05189579360105353
9	0,9398190853629128	0,506380514266087	0,022286952805479605
10	0,8713678779818571	0,30948254542158554	0,008599112338750386
11	0,7640688737678886	0,16113213679904123	0,002978678488166267
12	0,6228303310294099	0,0721067565578783	0,0009247642152331347
13	0,46535536334377064	0,027866829529513727	0,0002565049538760757
14	0,3153769174348661	0,00940805344743631	6,326246010302085e-05
15	0,19244171459724022	0,0027785536408155924	1,3776748950471589e-05
16	0,10517388873260916	0,0007239710112746858	2,6229678203436776e-06
17	0,05127163923661458	0,00016601282288820289	4,3051688727885045e-07
18	0,022212025115192605	3,3676497257031376e-05	5,967104686252187e-08
19	0,008517364252943908	6,006163376010741e-06	6,770446058390202e-09
20	0,00287701857773804	9,437773944964135e-07	5,967712771320723e-10
21	0,0008508276278387343	1,2932969484056173e-07	3,7059623846022166e-11
22	0,00021853486720463736	1,5440463806879552e-08	1,2605314233340872e-12
23	4,823424505137619e-05	1,5819346923651974e-09	
24	9,018142269417995e-06	1,3847992971724903e-10	
25	1,400403435186659e-06	1,0135642058562688e-11	
26	1,7565881962888774e-07	6,145834523569748e-13	
27	1,7079171410472327e-08	2,965459322108667e-14	
28	1,205328725717436e-09	1,1114582131734506e-15	
29	5,477901465766877e-11	2,8657016532463777e-17	
30	1,1995404669562504e-12	4,581050600216234e-19	
