Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
-6			1,0
-5			0,9999999997545038
-4			0,9999999663544551
-3			0,9999980582203529
-2			0,9999391342910343
-1			0,998888536561667
0	1,0	1,0	0,9882654470648056
1	0,9999985431653471	0,999926389019661	0,9333179764858657
2	0,9999707661846315	0,998903738118779	0,8158485062213434
3	0,9997244963800824	0,9923943095123581	0,6439525861749428
4	0,9983652070589812	0,9672256630751762	0,4547869608351148
5	0,9930893860469183	0,9010966228382737	0,28628545667591965
6	0,9776733039924892	0,7757829215294942	0,16086130729874568
7	0,9422321449122251	0,597992285245353	0,08082149102348053
8	0,8761108773630326	0,40385355109474935	0,036403133976870346
9	0,773680881748632	0,23666835090971047	0,014721654493170339
10	0,6395987370579661	0,12032391236609212	0,005351042155292367
11	0,4892544166035293	0,05330727058943685	0,0017477443977803602
12	0,34330396927308016	0,020691012182302685	0,0005123037445322275
13	0,2196130274839021	0,0070733908030085725	0,00013439201282418577
14	0,12751313050016222	0,0021391847862375335	3,141204714704002e-05
15	0,06697458134783574	0,0005739165856293385	6,498845413344684e-06
16	0,031730026576610726	0,00013690632791639543	1,1788452770153648e-06
17	0,013520436970296146	2,903237665295429e-05	1,8497325027274432e-07
18	0,00516502322157919	5,473530560472631e-06	2,4607806165268895e-08
19	0,0017620657496024705	9,143429245478226e-07	2,6933993988309453e-09
20	0,0005342099772462916	1,350535860369539e-07	2,3050471181522105e-10
21	0,00014302686251710384	1,751432693232215e-08	1,4023624286376228e-11
22	3,354382069176154e-05	1,9856686837261436e-09	4,769940233461302e-13
23	6,818363829097507e-06	1,9451757528919136e-10	
24	1,184355539862736e-06	1,6354350299983244e-11	
25	1,7245163519419293e-07	1,158275628995471e-12	
26	2,0487263441282266e-08	6,831048614986556e-14	
27	1,907807245515869e-09	3,230690875015817e-15	
28	1,3059775483270641e-10	1,1930162765981404e-16	
29	5,8406612879480235e-12	3,0554753154147134e-18	
30	1,2789769243681803e-13	4,884418799064373e-20	
