Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	0,9999999999999999	1,0
1	0,9999999988658863	0,9999999894615798	0,8801720810087984
2	0,9999999671107008	0,9999996645801826	0,7104719801961347
3	0,9999995122470718	0,9999947986977339	0,480198760754554
4	0,9999951676672525	0,9999480960987901	0,2909715923754464
5	0,9999644409642869	0,9996280055254568	0,1478663856914562
6	0,9997945832612896	0,9979728611333513	0,0673276000638251
7	0,9990369441775372	0,9913153140466899	0,02570598175596088
8	0,9962562149844175	0,9701348658558436	0,00879083871784249
9	0,9877559906504247	0,9164586081355457	0,0024753601051781355
10	0,9659648597643792	0,8081754004426378	0,0006210614212286843
11	0,9189723049932141	0,6357077432776805	0,00012112203246427089
12	0,8337327678578591	0,4224164837954126	2,081469176126481e-05
13	0,7040278676352059	0,22311802396519237	2,2930292893500954e-06
14	0,5392529569900406	0,08802861945051117	2,2190606025968662e-07
15	0,36558067337195577	0,02502481800738503	
16	0,21473670937365133	0,00546000991957164	
17	0,10741487443520856	0,0009404680763852919	
18	0,045142231584832854	0,000131979862392704	
19	0,015765902410962065	1,529419750100696e-05	
20	0,004531107307008957	1,4825697373747064e-06	
21	0,0010605826378659988	1,2044866992688662e-07	
22	0,00019964946248578717	8,213477004530535e-09	
23	2,971836025812344e-05	4,657126638904859e-10	
24	3,4140586635082737e-06	2,1725256263662464e-11	
25	2,9171836201519197e-07	8,094051078402156e-13	
26	1,7446299814538602e-08	2,323501093967378e-14	
27	6,514504352628236e-10	4,632287861785555e-16	
28	1,1428955004610941e-11	5,4497504256300646e-18	
