Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	1,0	1,0
1	0,999999999996362	0,9999999382777602	0,9329495496677365
2	0,9999999996762199	0,9999976066486553	0,7259922171996451
3	0,9999999868487066	0,999957644417081	0,4426160188519528
4	0,999999675044819	0,9995468151969804	0,20898130731363573
5	0,9999945176459732	0,9967275701265949	0,0765362460706226
6	0,9999330114587792	0,9831431938863905	0,021598214487627554
7	0,999388409902167	0,9361235414320805	0,004604054937912272
8	0,9957688916838379	0,8186819639706597	0,000710077579785251
9	0,9777833378575451	0,6093176194405889	7,133263798392298e-05
10	0,9122382799796469	0,35016613429600746	3,4812530982919476e-06
11	0,7436703298481007	0,13803448263774998	
12	0,45723888260909007	0,031948993405161996	
13	0,1689193486527074	0,0034118972876973075	
14	0,026315328796044923	0,00013009897659177483	
