Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	1,0	1,0
1	0,9999999999999432	0,9999999976560969	0,9428696531990393
2	0,9999999999943725	0,9999998454583148	0,7505083271117168
3	0,999999999722263	0,9999955792581066	0,4694951667517347
4	0,999999990999072	0,9999272500985611	0,22710709831245146
5	0,9999997889452175	0,9992295623090042	0,08507714049398149
6	0,9999962608935107	0,9944387811918164	0,024530588666556812
7	0,9999489818762868	0,9717398133852653	0,005339072501776756
8	0,9994623121294808	0,8969538212330427	0,0008413853124574107
9	0,9956645895240968	0,7268494620497361	8,659979986531865e-05
10	0,9737782745966683	0,46582684269061847	4,34285042010072e-06
11	0,8845615265414608	0,2071783233499106	
12	0,645555167542966	0,0537515732149695	
13	0,28004972619299906	0,006131988750042276	
14	0,0491083810416626	0,00024278435451505556	
