Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	1,0	1,0
1	0,9999961853027344	0,9994127777317772	0,8456842240848346
2	0,9998931884765625	0,9926177771994844	0,5251822279533371
3	0,9986572265625	0,9576720601762645	0,22933423152426258
4	0,9900054931640625	0,8528349091066048	0,07003146421629936
5	0,9510726928710938	0,6506489749008324	0,014888198609696701
6	0,8342742919921875	0,39069563092198223	0,002162829623557627
7	0,600677490234375	0,16787847894011065	0,00020508054876700044
8	0,3003387451171875	0,04510168090928346	1,145701389759779e-05
9	0,07508468627929688	0,005637710113660432	2,8642534743994474e-07
