Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0		1,0	1,0
1		0,999993059784174	0,6941123008728027
2	1,0	0,9996848404407501	0,3219461441040039
3	0,9999613761901855	0,9945802111178637	0,10399627685546875
4	0,9983863830566406	0,9544458910822868	0,020865440368652344
5	0,9758124351501465	0,7903773505240679	0,0018410682678222656
6	0,8388137817382812	0,4427267611026764	
7	0,4799942970275879	0,10480683110654354	
8	0,13154983520507812	0,007667429745197296	
9	0,012981891632080078	0,00045639462769031525	
