Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0		1,0	1,0
1		0,9999990850301401	0,8951498218812048
2	1,0	0,9999557057344646	0,6466001742519438
3	0,9999987930059433	0,9991585110601591	0,36555187217891216
4	0,9999435395002365	0,9917446772687981	0,16156846843659878
5	0,9989799410104752	0,9524993936338433	0,0556602468714118
6	0,9906672984361649	0,8277580324665905	0,014789349399507046
7	0,950495570898056	0,5860365448133962	0,002969367429614067
8	0,8334273993968964	0,30317335040672333	0,0004299785941839218
9	0,6167581379413605	0,10644056539604208	4,015350714325905e-05
10	0,35469475388526917	0,02421457031596219	1,7979182302951813e-06
11	0,14637820422649384	0,0034429393981554313	
12	0,0396113246679306	0,00029899232504249085	
13	0,006139352917671204	1,595598405401688e-05	
14	0,00040568411350250244	4,456978786038235e-07	
