Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0		1,0	1,0
1		0,9999978040723363	0,9032152201980352
2	1,0	0,9998973536421545	0,6564131490886211
3	0,9999975860118866	0,9981507230331772	0,36592166498303413
4	0,9998894929885864	0,9832331174984574	0,15482866391539574
5	0,9980703890323639	0,9132979069327121	0,049124449491500854
6	0,9832642078399658	0,7253763554617763	0,011310432106256485
7	0,9177269339561462	0,4352818412153283	0,0017726533114910126
8	0,7491278648376465	0,18080632330384105	0,00016780570149421692
9	0,48438841104507446	0,04932702242513187	7,191672921180725e-06
10	0,22500109672546387	0,008452111564110965	
11	0,0677553117275238	0,0008650831950944848	
12	0,011467337608337402	5,1344395615160465e-05	
13	0,0008113682270050049	1,782791514415294e-06	
