Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0		1,0	1,0
1	1,0	0,9999993595210981	0,994792035315494
2	0,9999999988212949	0,9999776176050545	0,9619083646540396
3	0,9999999448627932	0,9996949565353361	0,8655160689836618
4	0,9999988836207194	0,9976942524948811	0,6910845707631665
5	0,9999865727586439	0,9887230928736912	0,47246549821977535
6	0,9998903387604514	0,9608630085987695	0,2706661201443019
7	0,9993447042797925	0,8971874667003017	0,12833264892485285
8	0,9969944126933115	0,785339988526731	0,04989629090292169
9	0,9890586574474582	0,6295597694793503	0,015736556853199524
10	0,9675866620091256	0,45358121397343737	0,00396101585320352
11	0,9202904514677357	0,28969064835144104	0,0007758869362115561
12	0,8345211925625335	0,1623993734861961	0,00011370731991178218
13	0,7054747516231146	0,07930961424430732	1,1693120176126115e-05
14	0,5436031238932628	0,03351914589147559	7,499784793196795e-07
15	0,3739353070559446	0,012177441626767094	2,2499354379590386e-08
16	0,22534932699636556	0,003773410420983836	
17	0,11691089419764467	0,000987735237130638	
18	0,051308509122463875	0,00021572909581851762	
19	0,018687073592445813	3,868459411421332e-05	
20	0,005520123508176766	5,575730156748282e-06	
21	0,001283636360312812	6,279759363070347e-07	
22	0,00022525696840602905	5,3215947704021715e-08	
23	2,7927118935622275e-05	3,2212647549378914e-09	
24	2,1710438886657357e-06	1,2833883955565284e-10	
25	7,923517841845751e-08	2,72032396608779e-12	
