Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	1,0	1,0
1	0,9999999999854481	0,9999999240884629	0,9038376708444242
2	0,9999999990104698	0,9999972874706717	0,6493274504349973
3	0,9999999679857865	0,9999550278231126	0,34958317067508915
4	0,9999993416131474	0,9995420678677984	0,1395624238654154
5	0,9999904025753494	0,9968061973364675	0,04120661813849136
6	0,9998954845941626	0,9838879816888326	0,008818072207452232
7	0,9991270584287122	0,9394307501075474	0,0012940825631879704
8	0,9943507990683429	0,8274588136039558	0,00011578915994014949
9	0,9717200459417654	0,6234879419195258	4,722111002219975e-06
10	0,8919079093029723	0,3627240351770986	
11	0,6919921824010089	0,14161947992628043	
12	0,3674951777793467	0,029482360994776968	
13	0,08352163131348789	0,0018581319954691367	
