Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	1,0	1,0
1	0,9999999962747097	0,9999931958427624	0,8977178088279061
2	0,9999997913837433	0,9998529642653011	0,6353166207377399
3	0,9999949112534523	0,9985607738608451	0,3355160590581363
4	0,9999275207519531	0,9914005217533486	0,13122867592073817
5	0,9993201680481434	0,9645846388938253	0,03793000448126804
6	0,9955238699913025	0,8926990648446917	0,007930176195714012
7	0,9785233587026596	0,7507799526383678	0,0011333526117596193
8	0,923176646232605	0,5423498056293283	9,841727433013148e-05
9	0,7921287752687931	0,315796928676491	3,884892407768348e-06
10	0,5695877373218536	0,13745132631493107	
11	0,30723128467798233	0,040231035777651414	
12	0,10558784008026123	0,006557753083598072	
13	0,016498100012540817	0,00036703841885810107	
