Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	1,0	1,0
1	0,9999999999854481	0,9999999117185516	0,9400440573720221
2	0,9999999986612238	0,9999961029898844	0,7862292984353793
3	0,9999999447609298	0,9999234726745404	0,5700383076415511
4	0,9999986496404745	0,9991191963287677	0,3552724885190167
5	0,999978234176524	0,9934059639954862	0,1908225436866362
6	0,9997563043725677	0,9662612154246547	0,08861781751440534
7	0,998053168586921	0,8789539136324215	0,03572456533161572
8	0,9887545093079098	0,6904166794288041	0,012521591378558683
9	0,9527308975521009	0,42366496895551026	0,0038151637340652633
10	0,8545959644834511	0,18500898588437453	0,0010074580943791878
11	0,6686614142381586	0,05429244042641501	0,0002290705864577136
12	0,4256127795088105	0,010586689392147464	4,438331611955615e-05
13	0,20704828784801066	0,0013720817641782457	7,1980546523242595e-06
14	0,072620423452463	0,00011688483687877227	9,513344972900128e-07
15	0,017121237760875374	6,295302820702453e-06	9,760421637583505e-08
16	0,0024147084332071245	1,946099531524581e-07	7,103692634125025e-09
17	0,00015347723092418164	2,6346112791397758e-09	2,927345865710862e-10
