Damage	Cumulated Damage	Cumulated after PDIC	Cumulated Saved Damage
0	1,0	1,0	1,0
1	0,9999997615814209	0,999976374454036	0,9091169108191934
2	0,9999914169311523	0,9995451105405664	0,7079185868587956
3	0,9998760223388672	0,9959966601181804	0,46683969660625735
4	0,9989709854125977	0,9786258229050873	0,26079671717343444
5	0,9943113327026367	0,9223890654320712	0,1247099658321531
6	0,9773015975952148	0,7957989933183853	0,0513957821403892
7	0,9312191009521484	0,5929735916888603	0,018374866753219976
8	0,8358926773071289	0,3600101504398481	0,005718037298720446
9	0,6826748847961426	0,1690413793321568	0,0015497004014832783
10	0,4894990921020508	0,05874910041347903	0,00036521951369650196
11	0,29789161682128906	0,0146247780558042	7,437978820235003e-05
12	0,14888286590576172	0,0025577848882676335	1,2976755897398107e-05
13	0,058974266052246094	0,000309511484374525	1,9065337255597115e-06
14	0,01770496368408203	2,530296660552267e-05	2,3012944438960403e-07
15	0,0037708282470703125	1,332597094005905e-06	2,184424374718219e-08
16	0,0005064010620117188	4,081266524735838e-08	1,4897523215040565e-09
17	3,218650817871094e-05	5,525180313270539e-10	6,139089236967266e-11
